Radius	Barionic density	Energy	Pressure	Energy density	Rest mass	Radius metric	Time metric
0.00000000E+00	4.20000000E-01	0.00000000E+00	1.76400000E-01	5.96400000E-01	0.00000000E+00	3.99637447E-01	1.00000000E+00
1.00000000E-03	4.19997490E-01	2.49818239E-09	1.76397892E-01	5.96395382E-01	1.75928779E-09	3.99638537E-01	1.00000250E+00
2.00000000E-03	4.19990965E-01	1.99852060E-08	1.76392411E-01	5.96383376E-01	1.40742290E-08	3.99641372E-01	1.00000999E+00
3.00000000E-03	4.19980117E-01	6.74487239E-08	1.76383298E-01	5.96363415E-01	4.75001478E-08	3.99646084E-01	1.00002248E+00
4.00000000E-03	4.19964934E-01	1.59873975E-07	1.76370545E-01	5.96335479E-01	1.12591689E-07	3.99652680E-01	1.00003997E+00
5.00000000E-03	4.19945415E-01	3.12242586E-07	1.76354151E-01	5.96299566E-01	2.19902484E-07	3.99661160E-01	1.00006245E+00
6.00000000E-03	4.19921560E-01	5.39531375E-07	1.76334117E-01	5.96255677E-01	3.79984813E-07	3.99671523E-01	1.00008993E+00
7.00000000E-03	4.19893370E-01	8.56711141E-07	1.76310442E-01	5.96203812E-01	6.03389269E-07	3.99683771E-01	1.00012241E+00
8.00000000E-03	4.19860845E-01	1.27874547E-06	1.76283129E-01	5.96143974E-01	9.00664418E-07	3.99697904E-01	1.00015988E+00
9.00000000E-03	4.19823986E-01	1.82058952E-06	1.76252179E-01	5.96076165E-01	1.28235646E-06	3.99713920E-01	1.00020235E+00
1.00000000E-02	4.19782794E-01	2.49718885E-06	1.76217594E-01	5.96000388E-01	1.75900890E-06	3.99731821E-01	1.00024981E+00
1.10000000E-02	4.19737270E-01	3.32347818E-06	1.76179376E-01	5.95916645E-01	2.34116219E-06	3.99751607E-01	1.00030227E+00
1.20000000E-02	4.19687415E-01	4.31438023E-06	1.76137526E-01	5.95824941E-01	3.03935342E-06	3.99773277E-01	1.00035973E+00
1.30000000E-02	4.19633230E-01	5.48480450E-06	1.76092048E-01	5.95725278E-01	3.86411594E-06	3.99796831E-01	1.00042218E+00
1.40000000E-02	4.19574718E-01	6.84964609E-06	1.76042944E-01	5.95617661E-01	4.82597908E-06	3.99822270E-01	1.00048962E+00
1.50000000E-02	4.19511878E-01	8.42378448E-06	1.75990216E-01	5.95502095E-01	5.93546775E-06	3.99849594E-01	1.00056206E+00
1.60000000E-02	4.19444714E-01	1.02220824E-05	1.75933868E-01	5.95378583E-01	7.20310213E-06	3.99878802E-01	1.00063949E+00
1.70000000E-02	4.19373227E-01	1.22593845E-05	1.75873903E-01	5.95247130E-01	8.63939734E-06	3.99909896E-01	1.00072192E+00
1.80000000E-02	4.19297418E-01	1.45505164E-05	1.75810325E-01	5.95107743E-01	1.02548631E-05	3.99942874E-01	1.00080934E+00
1.90000000E-02	4.19217290E-01	1.71102833E-05	1.75743136E-01	5.94960426E-01	1.20600033E-05	3.99977737E-01	1.00090176E+00
2.00000000E-02	4.19132844E-01	1.99534687E-05	1.75672341E-01	5.94805186E-01	1.40653159E-05	4.00014485E-01	1.00099917E+00
2.10000000E-02	4.19044084E-01	2.30948336E-05	1.75597944E-01	5.94642028E-01	1.62812924E-05	4.00053118E-01	1.00110157E+00
2.20000000E-02	4.18951010E-01	2.65491149E-05	1.75519949E-01	5.94470959E-01	1.87184173E-05	4.00093636E-01	1.00120897E+00
2.30000000E-02	4.18853627E-01	3.03310247E-05	1.75438361E-01	5.94291987E-01	2.13871683E-05	4.00136040E-01	1.00132135E+00
2.40000000E-02	4.18751935E-01	3.44552484E-05	1.75353183E-01	5.94105118E-01	2.42980155E-05	4.00180329E-01	1.00143873E+00
2.50000000E-02	4.18645938E-01	3.89364444E-05	1.75264422E-01	5.93910360E-01	2.74614213E-05	4.00226503E-01	1.00156111E+00
2.60000000E-02	4.18535639E-01	4.37892422E-05	1.75172081E-01	5.93707720E-01	3.08878398E-05	4.00274563E-01	1.00168847E+00
2.70000000E-02	4.18421040E-01	4.90282416E-05	1.75076167E-01	5.93497207E-01	3.45877169E-05	4.00324508E-01	1.00182082E+00
