Radius	Barionic density	Energy	Pressure	Energy density	Rest mass
0.00000000E+00	5.65607169E+15	0.00000000E+00	2.13503796E+36	7.21846169E+36	0.00000000E+00
1.00000000E-02	5.65603789E+15	3.02364753E+46	2.13501245E+36	7.21840580E+36	1.19151290E-08
2.00000000E-02	5.65595002E+15	2.41888739E+47	2.13494611E+36	7.21826048E+36	9.53205358E-08
3.00000000E-02	5.65580393E+15	8.16358198E+47	2.13483582E+36	7.21801888E+36	3.21704267E-07
4.00000000E-02	5.65559946E+15	1.93501704E+48	2.13468146E+36	7.21768077E+36	7.62549769E-07
5.00000000E-02	5.65533660E+15	3.77919374E+48	2.13448304E+36	7.21724610E+36	1.48933363E-06
6.00000000E-02	5.65501535E+15	6.53015855E+48	2.13424055E+36	7.21671489E+36	2.57352327E-06
7.00000000E-02	5.65463572E+15	1.03691089E+49	2.13395401E+36	7.21608715E+36	4.08657471E-06
8.00000000E-02	5.65419771E+15	1.54771549E+49	2.13362343E+36	7.21536291E+36	6.09993021E-06
9.00000000E-02	5.65370134E+15	2.20353047E+49	2.13324883E+36	7.21454219E+36	8.68501605E-06
1.00000000E-01	5.65314661E+15	3.02244501E+49	2.13283023E+36	7.21362503E+36	1.19132402E-05
1.10000000E-01	5.65253355E+15	4.02253519E+49	2.13236766E+36	7.21261146E+36	1.58559900E-05
1.20000000E-01	5.65186216E+15	5.22186257E+49	2.13186114E+36	7.21150153E+36	2.05846299E-05
1.30000000E-01	5.65113246E+15	6.63847269E+49	2.13131070E+36	7.21029527E+36	2.61704994E-05
1.40000000E-01	5.65034449E+15	8.29039367E+49	2.13071637E+36	7.20899274E+36	3.26849102E-05
1.50000000E-01	5.64949824E+15	1.01956347E+50	2.13007819E+36	7.20759399E+36	4.01991444E-05
1.60000000E-01	5.64859375E+15	1.23721848E+50	2.12939619E+36	7.20609908E+36	4.87844522E-05
1.70000000E-01	5.64763104E+15	1.48380110E+50	2.12867041E+36	7.20450806E+36	5.85120493E-05
1.80000000E-01	5.64661014E+15	1.76110572E+50	2.12790090E+36	7.20282100E+36	6.94531147E-05
1.90000000E-01	5.64553106E+15	2.07092428E+50	2.12708768E+36	7.20103796E+36	8.16787887E-05
2.00000000E-01	5.64439385E+15	2.41504610E+50	2.12623083E+36	7.19915903E+36	9.52601701E-05
2.10000000E-01	5.64319852E+15	2.79525774E+50	2.12533037E+36	7.19718427E+36	1.10268314E-04
2.20000000E-01	5.64194512E+15	3.21334287E+50	2.12438637E+36	7.19511376E+36	1.26774231E-04
2.30000000E-01	5.64063367E+15	3.67108215E+50	2.12339887E+36	7.19294759E+36	1.44848882E-04
2.40000000E-01	5.63926420E+15	4.17025303E+50	2.12236793E+36	7.19068584E+36	1.64563178E-04
2.50000000E-01	5.63783676E+15	4.71262965E+50	2.12129362E+36	7.18832860E+36	1.85987977E-04
2.60000000E-01	5.63635138E+15	5.29998268E+50	2.12017598E+36	7.18587598E+36	2.09194083E-04
2.70000000E-01	5.63480810E+15	5.93407920E+50	2.11901510E+36	7.18332806E+36	2.34252242E-04
2.80000000E-01	5.63320695E+15	6.61668254E+50	2.11781102E+36	7.18068494E+36	2.61233140E-04
2.90000000E-01	5.63154799E+15	7.34955214E+50	2.11656383E+36	7.17794674E+36	2.90207401E-04
3.00000000E-01	5.62983125E+15	8.13444342E+50	2.11527358E+36	7.17511357E+36	3.21245586E-04
3.10000000E-01	5.62805678E+15	8.97310764E+50	2.11394036E+36	7.17218553E+36	3.54418189E-04
3.20000000E-01	5.62622462E+15	9.86729173E+50	2.11256424E+36	7.16916275E+36	3.89795633E-04
3.30000000E-01	5.62433482E+15	1.08187382E+51	2.11114530E+36	7.16604535E+36	4.27448273E-04
3.40000000E-01	5.62238744E+15	1.18291850E+51	2.10968361E+36	7.16283344E+36	4.67446388E-04
3.50000000E-01	5.62038252E+15	1.29003653E+51	2.10817927E+36	7.15952716E+36	5.09860183E-04
3.60000000E-01	5.61832011E+15	1.40340074E+51	2.10663236E+36	7.15612665E+36	5.54759783E-04
3.70000000E-01	5.61620027E+15	1.52318348E+51	2.10504295E+36	7.15263203E+36	6.02215235E-04
3.80000000E-01	5.61402305E+15	1.64955656E+51	2.10341116E+36	7.14904344E+36	6.52296501E-04
3.90000000E-01	5.61178851E+15	1.78269127E+51	2.10173706E+36	7.14536104E+36	7.05073458E-04
4.00000000E-01	5.60949671E+15	1.92275838E+51	2.10002075E+36	7.14158496E+36	7.60615897E-04
