2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
1.34668374E+13	1.24982500E+01	3.00857424E+52	1.68518540E-02
1.36013711E+15	1.00297324E+01	1.54336489E+54	9.20804034E-01
2.70680738E+15	8.64712988E+00	1.90643385E+54	1.16437892E+00
4.05347765E+15	7.75771289E+00	1.98058211E+54	1.21735801E+00
5.40014792E+15	7.13639551E+00	1.96398699E+54	1.20486003E+00
6.74681819E+15	6.67884473E+00	1.91702540E+54	1.16890070E+00
8.09348845E+15	6.32903027E+00	1.86120747E+54	1.12555732E+00
9.44015872E+15	6.05451465E+00	1.80484611E+54	1.08141295E+00
1.07868290E+16	5.83484863E+00	1.75120275E+54	1.03919476E+00
1.21334993E+16	5.65637061E+00	1.70145213E+54	9.99955700E-01
1.34801695E+16	5.50989160E+00	1.65587113E+54	9.63994757E-01
1.48268398E+16	5.38869116E+00	1.61434931E+54	9.31269743E-01
1.61735101E+16	5.28784546E+00	1.57661835E+54	9.01590369E-01
1.75201803E+16	5.20369287E+00	1.54235767E+54	8.74710716E-01
1.88668506E+16	5.13314014E+00	1.51124302E+54	8.50373641E-01
2.02135209E+16	5.07436084E+00	1.48296791E+54	8.28331565E-01
2.15601912E+16	5.02543506E+00	1.45725203E+54	8.08355431E-01
2.29068614E+16	4.98471387E+00	1.43384327E+54	7.90237736E-01
2.42535317E+16	4.95117236E+00	1.41251685E+54	7.73792632E-01
2.56002020E+16	4.92392236E+00	1.39307313E+54	7.58854661E-01
2.69468722E+16	4.90196387E+00	1.37533504E+54	7.45276919E-01
2.82935425E+16	4.88471777E+00	1.35914547E+54	7.32929075E-01
2.96402128E+16	4.87155371E+00	1.34436476E+54	7.21695436E-01
3.09868830E+16	4.86196094E+00	1.33086856E+54	7.11473164E-01
3.23335533E+16	4.85552832E+00	1.31854580E+54	7.02170673E-01
3.36802236E+16	4.85185693E+00	1.30729708E+54	6.93706220E-01
3.50268938E+16	4.85052246E+00	1.29703312E+54	6.86006669E-01
3.63735641E+16	4.85148340E+00	1.28767351E+54	6.79006417E-01
3.77202344E+16	4.85417285E+00	1.27914568E+54	6.72646473E-01
3.90669047E+16	4.85854248E+00	1.27138386E+54	6.66873651E-01
4.04135749E+16	4.86438672E+00	1.26432835E+54	6.61639882E-01
4.17602452E+16	4.87152832E+00	1.25792480E+54	6.56901613E-01
4.31069155E+16	4.87973437E+00	1.25212360E+54	6.52619295E-01
4.44535857E+16	4.88884619E+00	1.24687937E+54	6.48756927E-01
4.58002560E+16	4.89877100E+00	1.24215051E+54	6.45281674E-01
4.71469263E+16	4.90948486E+00	1.23789882E+54	6.42163524E-01
4.84935965E+16	4.92071436E+00	1.23408911E+54	6.39374996E-01
4.98402668E+16	4.93242871E+00	1.23068897E+54	6.36890877E-01
5.11869371E+16	4.94456738E+00	1.22766845E+54	6.34688001E-01
5.25336074E+16	4.95708545E+00	1.22499987E+54	6.32745048E-01
5.38802776E+16	4.96992236E+00	1.22265758E+54	6.31042369E-01
5.52269479E+16	4.98286670E+00	1.22061782E+54	6.29561831E-01
5.65736182E+16	4.99599121E+00	1.21885853E+54	6.28286679E-01
5.79202884E+16	5.00938232E+00	1.21735922E+54	6.27201415E-01
5.92669587E+16	5.02248242E+00	1.21610082E+54	6.26291692E-01
6.06136290E+16	5.03585498E+00	1.21506561E+54	6.25544209E-01
6.19602992E+16	5.04905225E+00	1.21423708E+54	6.24946635E-01
6.33069695E+16	5.06227588E+00	1.21359984E+54	6.24487521E-01
6.46536398E+16	5.07549463E+00	1.21313957E+54	6.24156234E-01
6.60003100E+16	5.08846387E+00	1.21284289E+54	6.23942895E-01
6.73469803E+16	5.10146143E+00	1.21269733E+54	6.23838316E-01
6.86936506E+16	5.11412256E+00	1.21269126E+54	6.23833952E-01
7.00403209E+16	5.12674072E+00	1.21281382E+54	6.23921853E-01
7.13869911E+16	5.13910937E+00	1.21305487E+54	6.24094616E-01
7.27336614E+16	5.15143848E+00	1.21340495E+54	6.24345354E-01
7.40803317E+16	5.16344434E+00	1.21385522E+54	6.24667648E-01
7.54270019E+16	5.17513184E+00	1.21439744E+54	6.25055523E-01
7.67736722E+16	5.18674902E+00	1.21502391E+54	6.25503414E-01
7.81203425E+16	5.19808838E+00	1.21572744E+54	6.26006135E-01
7.94670127E+16	5.20938232E+00	1.21650132E+54	6.26558858E-01
8.08136830E+16	5.22008838E+00	1.21733929E+54	6.27157084E-01
8.21603533E+16	5.23074561E+00	1.21823551E+54	6.27796623E-01
8.35070236E+16	5.24111035E+00	1.21918453E+54	6.28473573E-01
8.48536938E+16	5.25142236E+00	1.22018127E+54	6.29184300E-01
8.62003641E+16	5.26138184E+00	1.22122097E+54	6.29925422E-01
8.75470344E+16	5.27088867E+00	1.22229923E+54	6.30693789E-01
8.88937046E+16	5.28034473E+00	1.22341193E+54	6.31486471E-01
9.02403749E+16	5.28955273E+00	1.22455524E+54	6.32300741E-01
9.15870452E+16	5.29846484E+00	1.22572557E+54	6.33134065E-01
9.29337154E+16	5.30738916E+00	1.22691961E+54	6.33984084E-01
9.42803857E+16	5.31573975E+00	1.22813427E+54	6.34848609E-01
9.56270560E+16	5.32396338E+00	1.22936667E+54	6.35725603E-01
9.69737262E+16	5.33198145E+00	1.23061413E+54	6.36613177E-01
9.83203965E+16	5.33984473E+00	1.23187418E+54	6.37509578E-01
9.96670668E+16	5.34744287E+00	1.23314452E+54	6.38413179E-01
1.01013737E+17	5.35474414E+00	1.23442300E+54	6.39322473E-01
1.02360407E+17	5.36192334E+00	1.23570765E+54	6.40236062E-01
1.03707078E+17	5.36885742E+00	1.23699663E+54	6.41152655E-01
1.05053748E+17	5.37569043E+00	1.23828824E+54	6.42071054E-01
1.06400418E+17	5.38211426E+00	1.23958091E+54	6.42990157E-01
1.07747088E+17	5.38846338E+00	1.24087320E+54	6.43908941E-01
1.09093759E+17	5.39468994E+00	1.24216377E+54	6.44826467E-01
1.10440429E+17	5.40056543E+00	1.24345138E+54	6.45741868E-01
1.11787099E+17	5.40637402E+00	1.24473491E+54	6.46654345E-01
1.13133769E+17	5.41199219E+00	1.24601329E+54	6.47563165E-01
1.14480440E+17	5.41748242E+00	1.24728559E+54	6.48467656E-01
