2022-01-03 16:06:01
Density	Radius	Energy	Rest mass
1.00000000E-05	1.75655800E+02	4.72695921E+00	4.55466812E+00
1.00000010E+02	8.38250000E-01	4.16736620E+01	4.55467080E+00
2.00000010E+02	6.65325000E-01	5.13216680E+01	4.55467080E+00
3.00000010E+02	5.81237500E-01	5.80895180E+01	4.55467080E+00
4.00000010E+02	5.28087500E-01	6.34773940E+01	4.55467080E+00
5.00000010E+02	4.90237500E-01	6.80272498E+01	4.55467080E+00
6.00000010E+02	4.61331250E-01	7.20043505E+01	4.55467080E+00
7.00000010E+02	4.38237500E-01	7.55607424E+01	4.55467080E+00
8.00000010E+02	4.19150000E-01	7.87926485E+01	4.55467080E+00
9.00000010E+02	4.03031250E-01	8.17652787E+01	4.55467080E+00
1.00000001E+03	3.89112500E-01	8.45251074E+01	4.55467080E+00
1.10000001E+03	3.76943750E-01	8.71065621E+01	4.55467080E+00
1.20000001E+03	3.66168750E-01	8.95359400E+01	4.55467080E+00
1.30000001E+03	3.56531250E-01	9.18338353E+01	4.55467080E+00
1.40000001E+03	3.47843750E-01	9.40167127E+01	4.55467080E+00
1.50000001E+03	3.39925000E-01	9.60979671E+01	4.55467080E+00
1.60000001E+03	3.32690625E-01	9.80886591E+01	4.55467080E+00
1.70000001E+03	3.26046875E-01	9.99980406E+01	4.55467080E+00
1.80000001E+03	3.19881250E-01	1.01833938E+02	4.55467080E+00
1.90000001E+03	3.14165625E-01	1.03603038E+02	4.55467080E+00
2.00000001E+03	3.08853125E-01	1.05311104E+02	4.55467080E+00
2.10000001E+03	3.03868750E-01	1.06963142E+02	4.55467080E+00
2.20000001E+03	2.99181250E-01	1.08563533E+02	4.55467080E+00
2.30000001E+03	2.94781250E-01	1.10116133E+02	4.55467080E+00
2.40000001E+03	2.90650000E-01	1.11624357E+02	4.55467080E+00
2.50000001E+03	2.86712500E-01	1.13091247E+02	4.55467080E+00
2.60000001E+03	2.82978125E-01	1.14519523E+02	4.55467080E+00
2.70000001E+03	2.79456250E-01	1.15911631E+02	4.55467080E+00
2.80000001E+03	2.76081250E-01	1.17269776E+02	4.55467080E+00
2.90000001E+03	2.72875000E-01	1.18595958E+02	4.55467080E+00
3.00000001E+03	2.69803125E-01	1.19891992E+02	4.55467080E+00
3.10000001E+03	2.66875000E-01	1.21159536E+02	4.55467080E+00
3.20000001E+03	2.64068750E-01	1.22400107E+02	4.55467080E+00
3.30000001E+03	2.61365625E-01	1.23615093E+02	4.55467080E+00
3.40000001E+03	2.58775000E-01	1.24805776E+02	4.55467080E+00
3.50000001E+03	2.56290625E-01	1.25973336E+02	4.55467080E+00
3.60000001E+03	2.53896875E-01	1.27118862E+02	4.55467080E+00
3.70000001E+03	2.51584375E-01	1.28243367E+02	4.55467080E+00
3.80000001E+03	2.49362500E-01	1.29347788E+02	4.55467080E+00
3.90000001E+03	2.47215625E-01	1.30433000E+02	4.55467080E+00
4.00000001E+03	2.45137500E-01	1.31499816E+02	4.55467080E+00
4.10000001E+03	2.43128125E-01	1.32548997E+02	4.55467080E+00
4.20000001E+03	2.41178125E-01	1.33581253E+02	4.55467080E+00
4.30000001E+03	2.39298438E-01	1.34597252E+02	4.55467080E+00
4.40000001E+03	2.37475000E-01	1.35597619E+02	4.55467080E+00
4.50000001E+03	2.35700000E-01	1.36582941E+02	4.55467080E+00
4.60000001E+03	2.33975000E-01	1.37553772E+02	4.55467080E+00
4.70000001E+03	2.32315625E-01	1.38510632E+02	4.55467080E+00
4.80000001E+03	2.30684375E-01	1.39454015E+02	4.55467080E+00
4.90000001E+03	2.29104688E-01	1.40384384E+02	4.55467080E+00
5.00000001E+03	2.27564063E-01	1.41302180E+02	4.55467080E+00
5.10000001E+03	2.26075000E-01	1.42207819E+02	4.55467080E+00
5.20000001E+03	2.24606250E-01	1.43101695E+02	4.55467080E+00
5.30000001E+03	2.23184375E-01	1.43984184E+02	4.55467080E+00
5.40000001E+03	2.21795313E-01	1.44855641E+02	4.55467080E+00
5.50000001E+03	2.20460938E-01	1.45716404E+02	4.55467080E+00
5.60000001E+03	2.19132813E-01	1.46566796E+02	4.55467080E+00
5.70000001E+03	2.17854688E-01	1.47407124E+02	4.55467080E+00
5.80000001E+03	2.16578125E-01	1.48237680E+02	4.55467080E+00
5.90000001E+03	2.15354688E-01	1.49058743E+02	4.55467080E+00
6.00000001E+03	2.14148438E-01	1.49870581E+02	4.55467080E+00
6.10000001E+03	2.12968750E-01	1.50673447E+02	4.55467080E+00
6.20000001E+03	2.11825000E-01	1.51467586E+02	4.55467080E+00
6.30000001E+03	2.10693750E-01	1.52253232E+02	4.55467080E+00
6.40000001E+03	2.09585938E-01	1.53030606E+02	4.55467080E+00
6.50000001E+03	2.08518750E-01	1.53799925E+02	4.55467080E+00
6.60000001E+03	2.07462500E-01	1.54561394E+02	4.55467080E+00
6.70000001E+03	2.06418750E-01	1.55315209E+02	4.55467080E+00
6.80000001E+03	2.05392188E-01	1.56061560E+02	4.55467080E+00
6.90000001E+03	2.04395313E-01	1.56800629E+02	4.55467080E+00
7.00000001E+03	2.03440625E-01	1.57532592E+02	4.55467080E+00
7.10000001E+03	2.02470313E-01	1.58257616E+02	4.55467080E+00
7.20000001E+03	2.01528125E-01	1.58975865E+02	4.55467080E+00
7.30000001E+03	2.00592188E-01	1.59687493E+02	4.55467080E+00
7.40000001E+03	1.99690625E-01	1.60392651E+02	4.55467081E+00
7.50000001E+03	1.98793750E-01	1.61091485E+02	4.55467081E+00
7.60000001E+03	1.97928125E-01	1.61784135E+02	4.55467081E+00
7.70000001E+03	1.97068750E-01	1.62470735E+02	4.55467081E+00
7.80000001E+03	1.96220313E-01	1.63151416E+02	4.55467081E+00
7.90000001E+03	1.95381250E-01	1.63826303E+02	4.55467081E+00
8.00000001E+03	1.94567188E-01	1.64495520E+02	4.55467081E+00
8.10000001E+03	1.93764063E-01	1.65159182E+02	4.55467081E+00
8.20000001E+03	1.92971875E-01	1.65817404E+02	4.55467081E+00
8.30000001E+03	1.92190625E-01	1.66470297E+02	4.55467081E+00
8.40000001E+03	1.91443750E-01	1.67117966E+02	4.55467081E+00
8.50000001E+03	1.90681250E-01	1.67760515E+02	4.55467081E+00
8.60000001E+03	1.89937500E-01	1.68398044E+02	4.55467081E+00
