2022-01-03 16:06:01
Density	Radius	Energy	Rest mass
1.34668374E+11	1.75655800E+03	5.72122300E+55	3.08474023E+01
1.34668387E+18	8.38250000E+00	5.04392576E+56	3.08474205E+01
2.69336761E+18	6.65325000E+00	6.21166154E+56	3.08474205E+01
4.04005134E+18	5.81237500E+00	7.03080081E+56	3.08474205E+01
5.38673508E+18	5.28087500E+00	7.68291644E+56	3.08474205E+01
6.73341882E+18	4.90237500E+00	8.23360323E+56	3.08474205E+01
8.08010255E+18	4.61331250E+00	8.71496722E+56	3.08474205E+01
9.42678629E+18	4.38237500E+00	9.14541120E+56	3.08474205E+01
1.07734700E+19	4.19150000E+00	9.53658140E+56	3.08474205E+01
1.21201538E+19	4.03031250E+00	9.89637043E+56	3.08474205E+01
1.34668375E+19	3.89112500E+00	1.02304033E+57	3.08474205E+01
1.48135212E+19	3.76943750E+00	1.05428468E+57	3.08474205E+01
1.61602050E+19	3.66168750E+00	1.08368838E+57	3.08474205E+01
1.75068887E+19	3.56531250E+00	1.11150071E+57	3.08474205E+01
1.88535724E+19	3.47843750E+00	1.13792092E+57	3.08474205E+01
2.02002562E+19	3.39925000E+00	1.16311116E+57	3.08474205E+01
2.15469399E+19	3.32690625E+00	1.18720528E+57	3.08474205E+01
2.28936237E+19	3.26046875E+00	1.21031527E+57	3.08474205E+01
2.42403074E+19	3.19881250E+00	1.23253585E+57	3.08474205E+01
2.55869911E+19	3.14165625E+00	1.25394796E+57	3.08474205E+01
2.69336749E+19	3.08853125E+00	1.27462135E+57	3.08474205E+01
2.82803586E+19	3.03868750E+00	1.29461661E+57	3.08474205E+01
2.96270423E+19	2.99181250E+00	1.31398676E+57	3.08474205E+01
3.09737261E+19	2.94781250E+00	1.33277848E+57	3.08474205E+01
3.23204098E+19	2.90650000E+00	1.35103311E+57	3.08474205E+01
3.36670935E+19	2.86712500E+00	1.36878745E+57	3.08474205E+01
3.50137773E+19	2.82978125E+00	1.38607443E+57	3.08474205E+01
3.63604610E+19	2.79456250E+00	1.40292366E+57	3.08474205E+01
3.77071448E+19	2.76081250E+00	1.41936182E+57	3.08474205E+01
3.90538285E+19	2.72875000E+00	1.43541311E+57	3.08474205E+01
4.04005122E+19	2.69803125E+00	1.45109952E+57	3.08474205E+01
4.17471960E+19	2.66875000E+00	1.46644110E+57	3.08474205E+01
4.30938797E+19	2.64068750E+00	1.48145620E+57	3.08474205E+01
4.44405634E+19	2.61365625E+00	1.49616166E+57	3.08474205E+01
4.57872472E+19	2.58775000E+00	1.51057296E+57	3.08474205E+01
4.71339309E+19	2.56290625E+00	1.52470439E+57	3.08474205E+01
4.84806146E+19	2.53896875E+00	1.53856914E+57	3.08474205E+01
4.98272984E+19	2.51584375E+00	1.55217946E+57	3.08474205E+01
5.11739821E+19	2.49362500E+00	1.56554670E+57	3.08474205E+01
5.25206658E+19	2.47215625E+00	1.57868144E+57	3.08474205E+01
5.38673496E+19	2.45137500E+00	1.59159353E+57	3.08474205E+01
5.52140333E+19	2.43128125E+00	1.60429218E+57	3.08474205E+01
5.65607171E+19	2.41178125E+00	1.61678598E+57	3.08474205E+01
5.79074008E+19	2.39298438E+00	1.62908301E+57	3.08474205E+01
5.92540845E+19	2.37475000E+00	1.64119084E+57	3.08474205E+01
6.06007683E+19	2.35700000E+00	1.65311658E+57	3.08474205E+01
6.19474520E+19	2.33975000E+00	1.66486692E+57	3.08474205E+01
6.32941357E+19	2.32315625E+00	1.67644818E+57	3.08474205E+01
6.46408195E+19	2.30684375E+00	1.68786631E+57	3.08474205E+01
6.59875032E+19	2.29104688E+00	1.69912693E+57	3.08474205E+01
6.73341869E+19	2.27564063E+00	1.71023537E+57	3.08474205E+01
6.86808707E+19	2.26075000E+00	1.72119667E+57	3.08474205E+01
7.00275544E+19	2.24606250E+00	1.73201560E+57	3.08474205E+01
7.13742382E+19	2.23184375E+00	1.74269671E+57	3.08474205E+01
7.27209219E+19	2.21795313E+00	1.75324429E+57	3.08474205E+01
7.40676056E+19	2.20460938E+00	1.76366245E+57	3.08474205E+01
7.54142894E+19	2.19132813E+00	1.77395507E+57	3.08474205E+01
7.67609731E+19	2.17854688E+00	1.78412589E+57	3.08474205E+01
7.81076568E+19	2.16578125E+00	1.79417843E+57	3.08474205E+01
7.94543406E+19	2.15354688E+00	1.80411608E+57	3.08474205E+01
8.08010243E+19	2.14148438E+00	1.81394206E+57	3.08474205E+01
8.21477080E+19	2.12968750E+00	1.82365947E+57	3.08474205E+01
8.34943918E+19	2.11825000E+00	1.83327124E+57	3.08474205E+01
8.48410755E+19	2.10693750E+00	1.84278021E+57	3.08474205E+01
8.61877593E+19	2.09585938E+00	1.85218908E+57	3.08474205E+01
8.75344430E+19	2.08518750E+00	1.86150045E+57	3.08474205E+01
8.88811267E+19	2.07462500E+00	1.87071680E+57	3.08474205E+01
9.02278105E+19	2.06418750E+00	1.87984051E+57	3.08474205E+01
9.15744942E+19	2.05392188E+00	1.88887389E+57	3.08474205E+01
9.29211779E+19	2.04395313E+00	1.89781914E+57	3.08474205E+01
9.42678617E+19	2.03440625E+00	1.90667837E+57	3.08474205E+01
9.56145454E+19	2.02470313E+00	1.91545362E+57	3.08474205E+01
9.69612291E+19	2.01528125E+00	1.92414686E+57	3.08474205E+01
9.83079129E+19	2.00592188E+00	1.93275997E+57	3.08474205E+01
9.96545966E+19	1.99690625E+00	1.94129478E+57	3.08474205E+01
1.01001280E+20	1.98793750E+00	1.94975305E+57	3.08474205E+01
1.02347964E+20	1.97928125E+00	1.95813645E+57	3.08474205E+01
1.03694648E+20	1.97068750E+00	1.96644664E+57	3.08474205E+01
1.05041332E+20	1.96220313E+00	1.97468519E+57	3.08474205E+01
1.06388015E+20	1.95381250E+00	1.98285361E+57	3.08474205E+01
1.07734699E+20	1.94567188E+00	1.99095340E+57	3.08474205E+01
1.09081383E+20	1.93764063E+00	1.99898596E+57	3.08474205E+01
1.10428067E+20	1.92971875E+00	2.00695268E+57	3.08474205E+01
1.11774750E+20	1.92190625E+00	2.01485489E+57	3.08474205E+01
1.13121434E+20	1.91443750E+00	2.02269389E+57	3.08474205E+01
1.14468118E+20	1.90681250E+00	2.03047091E+57	3.08474205E+01
1.15814801E+20	1.89937500E+00	2.03818717E+57	3.08474205E+01
1.17161485E+20	1.89198438E+00	2.04584385E+57	3.08474205E+01
1.18508169E+20	1.88487500E+00	2.05344207E+57	3.08474205E+01
1.19854853E+20	1.87776563E+00	2.06098295E+57	3.08474205E+01
1.21201536E+20	1.87082813E+00	2.06846756E+57	3.08474205E+01
1.22548220E+20	1.86387500E+00	2.07589692E+57	3.08474205E+01
1.23894904E+20	1.85720313E+00	2.08327206E+57	3.08474205E+01
1.25241588E+20	1.85059375E+00	2.09059394E+57	3.08474205E+01
1.26588271E+20	1.84382813E+00	2.09786352E+57	3.08474205E+01
1.27934955E+20	1.83739063E+00	2.10508173E+57	3.08474205E+01
1.29281639E+20	1.83098438E+00	2.11224946E+57	3.08474205E+01
1.30628323E+20	1.82471875E+00	2.11936758E+57	3.08474205E+01
1.31975006E+20	1.81857813E+00	2.12643695E+57	3.08474205E+01
1.33321690E+20	1.81243750E+00	2.13345839E+57	3.08474205E+01
1.34668374E+20	1.80626563E+00	2.14043271E+57	3.08474205E+01
1.36015057E+20	1.80042188E+00	2.14736068E+57	3.08474205E+01
1.37361741E+20	1.79448438E+00	2.15424308E+57	3.08474205E+01
1.38708425E+20	1.78864063E+00	2.16108063E+57	3.08474205E+01
1.40055109E+20	1.78281250E+00	2.16787408E+57	3.08474205E+01
1.41401792E+20	1.77718750E+00	2.17462411E+57	3.08474205E+01
1.42748476E+20	1.77148438E+00	2.18133142E+57	3.08474205E+01
1.44095160E+20	1.76590625E+00	2.18799668E+57	3.08474205E+01
1.45441844E+20	1.76062500E+00	2.19462054E+57	3.08474205E+01
1.46788527E+20	1.75518750E+00	2.20120363E+57	3.08474205E+01
1.48135211E+20	1.74973438E+00	2.20774659E+57	3.08474205E+01
1.49481895E+20	1.74462500E+00	2.21425000E+57	3.08474205E+01
1.50828579E+20	1.73932813E+00	2.22071448E+57	3.08474205E+01
1.52175262E+20	1.73410938E+00	2.22714059E+57	3.08474205E+01
1.53521946E+20	1.72907813E+00	2.23352890E+57	3.08474205E+01
1.54868630E+20	1.72395313E+00	2.23987996E+57	3.08474205E+01
1.56215314E+20	1.71909375E+00	2.24619431E+57	3.08474205E+01
1.57561997E+20	1.71418750E+00	2.25247247E+57	3.08474205E+01
1.58908681E+20	1.70932813E+00	2.25871496E+57	3.08474205E+01
1.60255365E+20	1.70462500E+00	2.26492228E+57	3.08474205E+01
1.61602048E+20	1.69971875E+00	2.27109492E+57	3.08474205E+01
1.62948732E+20	1.69507813E+00	2.27723336E+57	3.08474205E+01
1.64295416E+20	1.69053125E+00	2.28333808E+57	3.08474205E+01
1.65642100E+20	1.68579688E+00	2.28940952E+57	3.08474205E+01
