2022-01-02 19:47:45
Density	Radius	Energy	Rest mass
1.00000000E-03	1.24982500E+00	2.48572862E-03	2.48820310E-03
1.00999000E-01	1.00297324E+00	1.27515094E-01	1.35958183E-01
2.00998000E-01	8.64712988E-01	1.57512389E-01	1.71922404E-01
3.00997000E-01	7.75771289E-01	1.63638628E-01	1.79744850E-01
4.00996000E-01	7.13639551E-01	1.62267515E-01	1.77899503E-01
5.00995000E-01	6.67884473E-01	1.58387479E-01	1.72590051E-01
6.00994000E-01	6.32903027E-01	1.53775718E-01	1.66190332E-01
7.00993000E-01	6.05451465E-01	1.49119059E-01	1.59672346E-01
8.00992000E-01	5.83484863E-01	1.44686966E-01	1.53438763E-01
9.00991000E-01	5.65637061E-01	1.40576496E-01	1.47645053E-01
1.00099000E+00	5.50989160E-01	1.36810526E-01	1.42335362E-01
1.10098900E+00	5.38869116E-01	1.33379932E-01	1.37503462E-01
1.20098800E+00	5.28784546E-01	1.30262544E-01	1.33121255E-01
1.30098700E+00	5.20369287E-01	1.27431876E-01	1.29152431E-01
1.40098600E+00	5.13314014E-01	1.24861137E-01	1.25559023E-01
1.50098500E+00	5.07436084E-01	1.22525006E-01	1.22304476E-01
1.60098400E+00	5.02543506E-01	1.20400322E-01	1.19354968E-01
1.70098300E+00	4.98471387E-01	1.18466255E-01	1.16679861E-01
1.80098200E+00	4.95117236E-01	1.16704235E-01	1.14251715E-01
1.90098100E+00	4.92392236E-01	1.15097766E-01	1.12046100E-01
2.00098000E+00	4.90196387E-01	1.13632219E-01	1.10041325E-01
2.10097900E+00	4.88471777E-01	1.12294613E-01	1.08218146E-01
2.20097800E+00	4.87155371E-01	1.11073409E-01	1.06559481E-01
2.30097700E+00	4.86196094E-01	1.09958332E-01	1.05050147E-01
2.40097600E+00	4.85552832E-01	1.08940208E-01	1.03676619E-01
2.50097500E+00	4.85185693E-01	1.08010822E-01	1.02426829E-01
2.60097400E+00	4.85052246E-01	1.07162798E-01	1.01289978E-01
2.70097300E+00	4.85148340E-01	1.06389494E-01	1.00256380E-01
2.80097200E+00	4.85417285E-01	1.05684911E-01	9.93173238E-02
2.90097100E+00	4.85854248E-01	1.05043618E-01	9.84649574E-02
3.00097000E+00	4.86438672E-01	1.04460681E-01	9.76921830E-02
3.10096900E+00	4.87152832E-01	1.03931610E-01	9.69925702E-02
3.20096800E+00	4.87973437E-01	1.03452307E-01	9.63602790E-02
