2022-01-02 19:48:44
Radius	Barionic density	Energy	Pressure	Energy density	Rest mass	Radius metric	Time metric
0.00000000E+00	4.20000000E-01	0.00000000E+00	1.76400000E-01	5.96400000E-01	0.00000000E+00	3.99637447E-01	1.00000000E+00
2.00000000E-04	4.19999913E-01	1.99855525E-11	1.76399927E-01	5.96399840E-01	1.40743341E-11	3.99637485E-01	1.00000010E+00
4.00000000E-04	4.19999652E-01	1.59884341E-10	1.76399708E-01	5.96399360E-01	1.12594650E-10	3.99637598E-01	1.00000040E+00
6.00000000E-04	4.19999218E-01	5.39609221E-10	1.76399343E-01	5.96398562E-01	3.80006825E-10	3.99637787E-01	1.00000090E+00
8.00000000E-04	4.19998611E-01	1.27907228E-09	1.76398833E-01	5.96397444E-01	9.00756517E-10	3.99638050E-01	1.00000160E+00
1.00000000E-03	4.19997830E-01	2.49818443E-09	1.76398177E-01	5.96396007E-01	1.75928906E-09	3.99638390E-01	1.00000250E+00
1.20000000E-03	4.19996876E-01	4.31685508E-09	1.76397376E-01	5.96394251E-01	3.04004936E-09	3.99638804E-01	1.00000360E+00
1.40000000E-03	4.19995748E-01	6.85499167E-09	1.76396428E-01	5.96392176E-01	4.82748178E-09	3.99639294E-01	1.00000490E+00
1.60000000E-03	4.19994447E-01	1.02324994E-08	1.76395335E-01	5.96389782E-01	7.20603003E-09	3.99639859E-01	1.00000640E+00
1.80000000E-03	4.19992972E-01	1.45692806E-08	1.76394096E-01	5.96387068E-01	1.02601371E-08	3.99640500E-01	1.00000809E+00
2.00000000E-03	4.19991324E-01	1.99852348E-08	1.76392712E-01	5.96384035E-01	1.40742450E-08	3.99641216E-01	1.00000999E+00
2.20000000E-03	4.19989502E-01	2.66002578E-08	1.76391182E-01	5.96380683E-01	1.87327949E-08	3.99642007E-01	1.00001209E+00
2.40000000E-03	4.19987506E-01	3.45342417E-08	1.76389506E-01	5.96377012E-01	2.43202269E-08	3.99642874E-01	1.00001439E+00
2.60000000E-03	4.19985338E-01	4.39070743E-08	1.76387684E-01	5.96373022E-01	3.09209798E-08	3.99643816E-01	1.00001689E+00
2.80000000E-03	4.19982995E-01	5.48386388E-08	1.76385716E-01	5.96368712E-01	3.86194911E-08	3.99644834E-01	1.00001959E+00
3.00000000E-03	4.19980480E-01	6.74488135E-08	1.76383603E-01	5.96364083E-01	4.75001970E-08	3.99645927E-01	1.00002248E+00
3.20000000E-03	4.19977790E-01	8.18574710E-08	1.76381344E-01	5.96359135E-01	5.76475322E-08	3.99647095E-01	1.00002558E+00
3.40000000E-03	4.19974928E-01	9.81844785E-08	1.76378940E-01	5.96353867E-01	6.91459296E-08	3.99648338E-01	1.00002888E+00
3.60000000E-03	4.19971891E-01	1.16549697E-07	1.76376390E-01	5.96348281E-01	8.20798205E-08	3.99649657E-01	1.00003238E+00
3.80000000E-03	4.19968682E-01	1.37072980E-07	1.76373694E-01	5.96342375E-01	9.65336345E-08	3.99651052E-01	1.00003607E+00
4.00000000E-03	4.19965298E-01	1.59874176E-07	1.76370852E-01	5.96336150E-01	1.12591799E-07	3.99652522E-01	1.00003997E+00
