2022-01-12 19:18:21
Radius	Barionic density	Energy	Pressure	Energy density	Rest mass
0.00000000E+00	5.65607169E+15	0.00000000E+00	6.10828654E+37	2.64517794E+37	0.00000000E+00
2.00000000E-03	5.65606814E+15	8.86406484E+44	6.10827383E+37	2.64517244E+37	9.53212363E-11
4.00000000E-03	5.65605747E+15	7.09122539E+45	6.10823569E+37	2.64515593E+37	7.62569540E-10
6.00000000E-03	5.65603970E+15	2.39327368E+46	6.10817216E+37	2.64512842E+37	2.57367019E-09
8.00000000E-03	5.65601482E+15	5.67289551E+46	6.10808322E+37	2.64508992E+37	6.10054487E-09
1.00000000E-02	5.65598283E+15	1.10797497E+47	6.10796888E+37	2.64504041E+37	1.19151098E-08
1.20000000E-02	5.65594373E+15	1.91455447E+47	6.10782913E+37	2.64497991E+37	2.05892742E-08
1.40000000E-02	5.65589753E+15	3.04019229E+47	6.10766398E+37	2.64490841E+37	3.26949380E-08
1.60000000E-02	5.65584422E+15	4.53804467E+47	6.10747344E+37	2.64482592E+37	4.88039905E-08
1.80000000E-02	5.65578381E+15	6.46125860E+47	6.10725750E+37	2.64473243E+37	6.94883085E-08
2.00000000E-02	5.65571629E+15	8.86297044E+47	6.10701617E+37	2.64462795E+37	9.53197542E-08
2.20000000E-02	5.65564167E+15	1.17963046E+48	6.10674945E+37	2.64451248E+37	1.26870174E-07
2.40000000E-02	5.65555994E+15	1.53143723E+48	6.10645735E+37	2.64438602E+37	1.64711395E-07
2.60000000E-02	5.65547111E+15	1.94702700E+48	6.10613988E+37	2.64424858E+37	2.09415227E-07
2.80000000E-02	5.65537518E+15	2.43170786E+48	6.10579704E+37	2.64410015E+37	2.61553455E-07
3.00000000E-02	5.65527214E+15	2.99078613E+48	6.10542884E+37	2.64394074E+37	3.21697844E-07
3.20000000E-02	5.65516201E+15	3.62956631E+48	6.10503528E+37	2.64377036E+37	3.90420132E-07
3.40000000E-02	5.65504478E+15	4.35335090E+48	6.10461638E+37	2.64358900E+37	4.68292029E-07
3.60000000E-02	5.65492045E+15	5.16744030E+48	6.10417214E+37	2.64339668E+37	5.55885218E-07
3.80000000E-02	5.65478903E+15	6.07713262E+48	6.10370258E+37	2.64319338E+37	6.53771351E-07
4.00000000E-02	5.65465051E+15	7.08772362E+48	6.10320769E+37	2.64297913E+37	7.62522047E-07
4.20000000E-02	5.65450491E+15	8.20450653E+48	6.10268749E+37	2.64275392E+37	8.82708892E-07
4.40000000E-02	5.65435220E+15	9.43277196E+48	6.10214199E+37	2.64251776E+37	1.01490343E-06
4.60000000E-02	5.65419242E+15	1.07778077E+49	6.10157121E+37	2.64227064E+37	1.15967719E-06
4.80000000E-02	5.65402554E+15	1.22448987E+49	6.10097515E+37	2.64201259E+37	1.31760162E-06
5.00000000E-02	5.65385158E+15	1.38393267E+49	6.10035382E+37	2.64174359E+37	1.48924817E-06
5.20000000E-02	5.65367053E+15	1.55663706E+49	6.09970724E+37	2.64146367E+37	1.67518821E-06
5.40000000E-02	5.65348240E+15	1.74313057E+49	6.09903542E+37	2.64117281E+37	1.87599310E-06
5.60000000E-02	5.65328719E+15	1.94394039E+49	6.09833837E+37	2.64087104E+37	2.09223412E-06
5.80000000E-02	5.65308491E+15	2.15959336E+49	6.09761611E+37	2.64055835E+37	2.32448253E-06
6.00000000E-02	5.65287555E+15	2.39061597E+49	6.09686865E+37	2.64023474E+37	2.57330953E-06
6.20000000E-02	5.65265912E+15	2.63753428E+49	6.09609601E+37	2.63990024E+37	2.83928625E-06
6.40000000E-02	5.65243562E+15	2.90087401E+49	6.09529820E+37	2.63955484E+37	3.12298378E-06
6.60000000E-02	5.65220505E+15	3.18116044E+49	6.09447523E+37	2.63919855E+37	3.42497318E-06
6.80000000E-02	5.65196741E+15	3.47891842E+49	6.09362713E+37	2.63883138E+37	3.74582540E-06
7.00000000E-02	5.65172271E+15	3.79467239E+49	6.09275392E+37	2.63845333E+37	4.08611137E-06
7.20000000E-02	5.65147095E+15	4.12894634E+49	6.09185559E+37	2.63806442E+37	4.44640195E-06
7.40000000E-02	5.65121214E+15	4.48226379E+49	6.09093219E+37	2.63766465E+37	4.82726794E-06
7.60000000E-02	5.65094627E+15	4.85514778E+49	6.08998372E+37	2.63725402E+37	5.22928005E-06
7.80000000E-02	5.65067335E+15	5.24812089E+49	6.08901020E+37	2.63683255E+37	5.65300897E-06
8.00000000E-02	5.65039338E+15	5.66170518E+49	6.08801165E+37	2.63640025E+37	6.09902527E-06
8.20000000E-02	5.65010637E+15	6.09642221E+49	6.08698810E+37	2.63595711E+37	6.56789949E-06
8.40000000E-02	5.64981232E+15	6.55279301E+49	6.08593956E+37	2.63550316E+37	7.06020208E-06
8.60000000E-02	5.64951122E+15	7.03133807E+49	6.08486605E+37	2.63503841E+37	7.57650342E-06
8.80000000E-02	5.64920310E+15	7.53257735E+49	6.08376759E+37	2.63456285E+37	8.11737382E-06
9.00000000E-02	5.64888794E+15	8.05703023E+49	6.08264422E+37	2.63407650E+37	8.68338350E-06
9.20000000E-02	5.64856575E+15	8.60521551E+49	6.08149594E+37	2.63357937E+37	9.27510262E-06
9.40000000E-02	5.64823654E+15	9.17765143E+49	6.08032278E+37	2.63307147E+37	9.89310123E-06
9.60000000E-02	5.64790031E+15	9.77485559E+49	6.07912476E+37	2.63255280E+37	1.05379493E-05
9.80000000E-02	5.64755706E+15	1.03973450E+50	6.07790191E+37	2.63202339E+37	1.12102168E-05
1.00000000E-01	5.64720679E+15	1.10456361E+50	6.07665426E+37	2.63148324E+37	1.19104735E-05
1.02000000E-01	5.64684952E+15	1.17202446E+50	6.07538182E+37	2.63093235E+37	1.26392891E-05
1.04000000E-01	5.64648524E+15	1.24216855E+50	6.07408462E+37	2.63037075E+37	1.33972333E-05
1.06000000E-01	5.64611396E+15	1.31504734E+50	6.07276269E+37	2.62979844E+37	1.41848757E-05
1.08000000E-01	5.64573569E+15	1.39071220E+50	6.07141605E+37	2.62921544E+37	1.50027855E-05
1.10000000E-01	5.64535042E+15	1.46921444E+50	6.07004473E+37	2.62862175E+37	1.58515323E-05
1.12000000E-01	5.64495816E+15	1.55060529E+50	6.06864876E+37	2.62801738E+37	1.67316853E-05
1.14000000E-01	5.64455892E+15	1.63493592E+50	6.06722816E+37	2.62740236E+37	1.76438137E-05
1.16000000E-01	5.64415270E+15	1.72225742E+50	6.06578297E+37	2.62677668E+37	1.85884865E-05
1.18000000E-01	5.64373950E+15	1.81262082E+50	6.06431320E+37	2.62614037E+37	1.95662727E-05
1.20000000E-01	5.64331933E+15	1.90607706E+50	6.06281890E+37	2.62549343E+37	2.05777411E-05
1.22000000E-01	5.64289220E+15	2.00267700E+50	6.06130008E+37	2.62483589E+37	2.16234604E-05
1.24000000E-01	5.64245810E+15	2.10247145E+50	6.05975678E+37	2.62416774E+37	2.27039995E-05
1.26000000E-01	5.64201705E+15	2.20551111E+50	6.05818904E+37	2.62348901E+37	2.38199267E-05
1.28000000E-01	5.64156904E+15	2.31184662E+50	6.05659687E+37	2.62279970E+37	2.49718105E-05
1.30000000E-01	5.64111409E+15	2.42152853E+50	6.05498031E+37	2.62209984E+37	2.61602192E-05
1.32000000E-01	5.64065220E+15	2.53460731E+50	6.05333939E+37	2.62138943E+37	2.73857210E-05
1.34000000E-01	5.64018337E+15	2.65113335E+50	6.05167415E+37	2.62066849E+37	2.86488841E-05
1.36000000E-01	5.63970761E+15	2.77115696E+50	6.04998462E+37	2.61993703E+37	2.99502763E-05
1.38000000E-01	5.63922493E+15	2.89472834E+50	6.04827083E+37	2.61919507E+37	3.12904655E-05
1.40000000E-01	5.63873532E+15	3.02189763E+50	6.04653281E+37	2.61844262E+37	3.26700194E-05
